"transaction_id","customer_name","account_number","transaction_date_raw","transaction_amount","currency","transaction_type","branch_code","balance_after_transaction","notes","data_issue_flag","transaction_date_clean","balance_issue_flag"
"274096","Elizabeth Mcfarland","26266855","2023-05-09","6919.41","INVALID","Credit","BR513","59152.92",NULL,NULL,"2023-05-09",NULL
"208041","Stephanie Pace","85649437","31/03/2024","8074.42","GBP","Debit","BR431","53156.28","Benefit future still stand level.",NULL,"2024-03-31",NULL
"578816","Jeffrey Johnson","90700928","May 26, 2022","6287.82","GBP","Debit","BR199","2268.66","Cause manage next figure.",NULL,"2022-05-26",NULL
"119378","Ashley Brown","32584968","15/12/2023","9577.91","INVALID","Debit",NULL,"41440.27",NULL,NULL,"2023-12-15",NULL
"970142","Jessica Barber","60724676","September 30, 2022","2899.24","INVALID","Debit","BR497","53563.20","Chair message exist hour.",NULL,"2022-09-30",NULL
"523756","Jennifer Davis","76160255","August 28, 2024","17666.72","GBP","Debit","BR478","75591.52","Central pull life sound hotel.",NULL,"2024-08-28",NULL
"526970","Alison Charles","58822243","2024-03-03","15952.37","EUR","Debit",NULL,"3369.88","Check bounced",NULL,"2024-03-03",NULL
"976687","Scott Gray","19847726","2023-06-25","175.18","GBP","Transfer","BR208","12039.56","Up would event.",NULL,"2023-06-25",NULL
"146027","Wendy Harrington","34481450","01/07/2025","12500.78","GBP","Transfer","BR541","72514.28","Manual correction",NULL,"2025-07-01",NULL
"447243","Susan Wright","30025460","2025-09-05","7670.18","GBP","Credit","BR830","72688.82",NULL,NULL,"2025-09-05",NULL
"603707","Kimberly Carter","76853590","2021-12-28","16501.83","INR","Credit","BR903","56040.23","Manual correction",NULL,"2021-12-28",NULL
"440825","Mason Gomez","43553753","July 02, 2025","462.19","INVALID","Debit","BR297","69677.11","Check bounced",NULL,"2025-07-02",NULL
"730860","Dawn Lewis","62371396","July 08, 2024","11955.42","INR","Debit",NULL,"84529.50","Election American through training take fast.",NULL,"2024-07-08",NULL
"272233","Cynthia Archer","15684739","February 26, 2022","1789.05","GBP","Credit","BR106","37024.59","Manual correction",NULL,"2022-02-26",NULL
"645279","Raymond Davis","62843190","May 11, 2024","6904.38","INVALID","Transfer","BR348","84456.91","Once could wife tend major central.",NULL,"2024-05-11",NULL
"796110","Valerie Norman","84835476","February 21, 2022","2628.38","INVALID","Debit",NULL,"82440.40",NULL,NULL,"2022-02-21",NULL
"796649","Sean Lang","38060460","16/10/2025",NULL,"GBP","Credit","BR019","1873.91","Forget return old word town billion."," Missing Critical Field","2025-10-16",NULL
"861284","Paula Lee","57960341","03/04/2025","5899.11","INVALID","Debit","BR655","50753.21","Each several carry Republican customer score hotel.",NULL,"2025-04-03",NULL
"585324","Juan Martin","17026255","January 24, 2023","6638.13","INVALID","Credit","BR854","46237.38","Check bounced",NULL,"2023-01-24",NULL
"118401","Ashley Jackson","41660721","January 03, 2025",NULL,"EUR","Transfer","BR960","77930.25",NULL," Missing Critical Field","2025-01-03",NULL
"417518","Mr. James Vincent Dds","56928677","March 25, 2024","8323.53","INR","Debit","BR518","84221.24","Most cup east community each.",NULL,"2024-03-25",NULL
"203099","Keith Johnson","40395053","January 21, 2024","4592.13","USD","Credit","BR520","38711.74","Manual correction",NULL,"2024-01-21",NULL
"176221","Nicole Bell","66021145","September 15, 2024","18314.77","INVALID","Credit",NULL,"48344.82","Same her ready today personal service book if.",NULL,"2024-09-15",NULL
"925714","Stephanie Robinson","59505644","15/01/2025","1771.21","INVALID","Debit","BR437","62639.32",NULL,NULL,"2025-01-15",NULL
"854214","Alice Harding","13371541","12/10/2021","15167.36","INVALID","Transfer","BR775","76152.41","Manual correction",NULL,"2021-10-12",NULL
"476017","Michelle Odom","79776181","September 01, 2024","1378.28","INVALID","Debit",NULL,"63155.20",NULL,NULL,"2024-09-01",NULL
"372424","Emily James","45871260","01/11/2023","2057.27","INVALID","Transfer",NULL,"88701.49","Check bounced",NULL,"2023-11-01",NULL
"741903","Dawn Miller","66111176","01/04/2025","15576.45","INR","Transfer","BR876","6133.93",NULL,NULL,"2025-04-01",NULL
"966115","John Pham","34386253","July 02, 2022","11607.84","EUR","Debit","BR094","98355.30","Manual correction",NULL,"2022-07-02",NULL
"507557","Jamie Young","80680843","11/05/2024","1351.86","EUR","Debit","BR396","22298.34","Manual correction",NULL,"2024-05-11",NULL
"750294","Michael Page Dds","16872479","2021-07-11","453.43","INVALID","Transfer",NULL,"37301.33",NULL,NULL,"2021-07-11",NULL
"358199","Adrienne Garcia","42270049","23/04/2021","246.21","INR","Transfer",NULL,"96668.33","Check bounced",NULL,"2021-04-23",NULL
"930981","Shelly Castro","98928018","17/05/2025","18584.30","EUR","Transfer",NULL,"75133.05",NULL,NULL,"2025-05-17",NULL
"168689","Jessica Jones",NULL,"2021-12-14","2826.36","EUR","Transfer",NULL,"33877.19","Manual correction"," Invalid Account Number","2021-12-14","Mismatch"
"919179","Yolanda Walker",NULL,"June 24, 2022","11266.44","INVALID","Credit","BR759","13336.38","Act hotel picture leave step central."," Invalid Account Number","2022-06-24","Mismatch"
"447530","Michael Glass",NULL,"April 10, 2023","4578.31","INVALID","Transfer","BR924","46428.19","Manual correction"," Invalid Account Number","2023-04-10","Mismatch"
"807803","Scott Lee",NULL,"2023-08-12","5426.94","INVALID","Transfer","BR600","60860.40","Manual correction"," Invalid Account Number","2023-08-12","Mismatch"
"530863","Tammy Cunningham",NULL,"October 27, 2023","15882.56","EUR","Debit","BR789","65739.53",NULL," Invalid Account Number","2023-10-27","Mismatch"
"788151","Kayla Lewis",NULL,"2023-12-26","3514.85","INVALID","Debit","BR806","83517.75","Happy author enjoy billion culture."," Invalid Account Number","2023-12-26","Mismatch"
"273633","Donna Smith",NULL,"2024-07-26","17157.68","GBP","Credit","BR467","70514.20","Popular his property money mother like."," Invalid Account Number","2024-07-26","Mismatch"
"737417","Candace Hicks",NULL,"2025-04-23","17691.48","INVALID","Debit","BR814","61189.56","Goal within born drive."," Invalid Account Number","2025-04-23","Mismatch"
"318456","Jack Daniel",NULL,"2025-04-24","1406.43","USD","Debit","BR781","22947.81","Check bounced"," Invalid Account Number","2025-04-24","Mismatch"
"458978","Sarah Lopez",NULL,"2025-09-28","4115.23","EUR","Credit","BR148","30214.72","Manual correction"," Invalid Account Number","2025-09-28","Mismatch"
"224970","Samuel Rogers",NULL,"01/10/2025","18795.92","USD","Credit","BR986","75424.56","Check bounced"," Invalid Account Number","2025-10-01","Mismatch"
"746361","Amy Allen",NULL,"2024-04-03","4958.57","EUR","Transfer",NULL,"36062.64",NULL," Invalid Account Number","2024-04-03","Mismatch"
"365070","Derek Welch",NULL,"2024-09-04","628.61","INR","Credit","BR954","27793.38",NULL," Invalid Account Number","2024-09-04","Mismatch"
"612569","Tracy Garrison",NULL,"12/05/2025","19189.65","EUR","Credit","BR776","31331.45",NULL," Invalid Account Number","2025-05-12","Mismatch"
"981867","Timothy Luna",NULL,"21/10/2025","18050.30","EUR","Debit","BR033","22371.02",NULL," Invalid Account Number","2025-10-21","Mismatch"
"294390","Kimberly Dixon",NULL,"2025-12-03","4627.33","USD","Debit","BR398","34020.53",NULL," Invalid Account Number","2025-12-03","Mismatch"
"112491","Patricia Brown",NULL,"April 29, 2021","4092.98","INR","Debit","BR145","79963.53",NULL," Invalid Account Number","2021-04-29","Mismatch"
"838849","Christine Harvey",NULL,"2021-08-10","9755.49","INVALID","Credit","BR657","77041.03",NULL," Invalid Account Number","2021-08-10","Mismatch"
"515849","Daniel Reed",NULL,"14/10/2023","11289.22","INR","Transfer","BR456","25840.59",NULL," Invalid Account Number","2023-10-14","Mismatch"
"814905","Mrgret Grci",NULL,"13/12/2023","9456.25","INR","Credit","BR188","95036.97",NULL," Invalid Account Number","2023-12-13","Mismatch"
"353365","Laura Jenkins",NULL,"04/05/2024","15412.80","USD","Debit","BR628","27983.98",NULL," Invalid Account Number","2024-05-04","Mismatch"
"410124","Daniel Carter",NULL,"2024-11-25","4595.62","INR","Debit","BR011","51144.00",NULL," Invalid Account Number","2024-11-25","Mismatch"
"138806","Tonya Richardson",NULL,"2025-04-20","2233.84","INVALID","Transfer","BR757","69458.30",NULL," Invalid Account Number","2025-04-20","Mismatch"
"307488","Lori Bell",NULL,"June 27, 2025","16107.46","INVALID","Debit","BR713","23831.79",NULL," Invalid Account Number","2025-06-27","Mismatch"
"135943","Ryan Walker",NULL,"23/05/2021","13155.15","INVALID","Credit","BR610","18328.60",NULL," Invalid Account Number","2021-05-23","Mismatch"
"697160","Robert Salinas",NULL,"June 17, 2021","1496.06","INR","Debit","BR902","75707.18","Light street front head Republican peace direction national."," Invalid Account Number","2021-06-17","Mismatch"
"239293","Robert Bates",NULL,"January 22, 2022","9883.16","INVALID","Credit","BR944","70925.12","Check bounced"," Invalid Account Number","2022-01-22","Mismatch"
"597068","Christine Horton",NULL,"April 26, 2022","6093.89","EUR","Transfer","BR973","83995.45","Check bounced"," Invalid Account Number","2022-04-26","Mismatch"
"440026","Russell Jones",NULL,"June 13, 2022","3785.71","USD","Transfer","BR849","58583.50","Wrong beat during three mention."," Invalid Account Number","2022-06-13","Mismatch"
"588999","Mindy Johnson",NULL,"06/07/2022","468.79","EUR","Debit","BR742","67267.55",NULL," Invalid Account Number","2022-07-06","Mismatch"
"576330","Courtney Martinez",NULL,"2022-08-28","3270.34","EUR","Transfer","BR225","22836.79","Manual correction"," Invalid Account Number","2022-08-28","Mismatch"
"389852","Michelle Goodwin",NULL,"20/11/2022","12279.91","EUR","Credit","BR646","22639.34","Manual correction"," Invalid Account Number","2022-11-20","Mismatch"
"921029","Randy Pierce",NULL,"03/02/2023","17011.47","INR","Credit","BR828","15815.98","Manual correction"," Invalid Account Number","2023-02-03","Mismatch"
"926113","Benjamin Medina",NULL,"March 14, 2023","13772.60","INVALID","Debit",NULL,"76424.41",NULL," Invalid Account Number","2023-03-14","Mismatch"
"312677","Jean Acevedo",NULL,"03/08/2023","2882.01","EUR","Debit","BR581","71284.04",NULL," Invalid Account Number","2023-08-03","Mismatch"
"696112","Joel Evans",NULL,"13/10/2023","2597.48","EUR","Credit","BR261","94715.84",NULL," Invalid Account Number","2023-10-13","Mismatch"
"667199","James Norton",NULL,"17/06/2024","15363.71","EUR","Credit","BR925","86519.95",NULL," Invalid Account Number","2024-06-17","Mismatch"
"677541","Mario Thomas",NULL,"November 11, 2024","6203.06","EUR","Transfer",NULL,"51243.15","Share star figure turn central focus."," Invalid Account Number","2024-11-11","Mismatch"
"293276","Amber Shelton",NULL,"26/01/2025","11006.20","GBP","Debit","BR694","99240.11",NULL," Invalid Account Number","2025-01-26","Mismatch"
"600927","James Myers",NULL,"May 20, 2025","4605.66","INVALID","Debit","BR294","91923.40","Check bounced"," Invalid Account Number","2025-05-20","Mismatch"
"582891","Michael Williams",NULL,"20/07/2025","16183.79","INVALID","Debit",NULL,"43908.54",NULL," Invalid Account Number","2025-07-20","Mismatch"
"995435","Thomas Cox",NULL,"22/10/2022",NULL,"GBP","Credit","BR025","89368.22",NULL," Missing Critical Field Invalid Account Number","2022-10-22",NULL
"763017","Patricia Rogers",NULL,"2022-03-24","3479.48","EUR","Credit","BR872","57738.07",NULL," Invalid Account Number","2022-03-24","Mismatch"
"837864","Melody Jackson",NULL,"September 04, 2023","16169.64","GBP","Credit","BR758","56144.85",NULL," Invalid Account Number","2023-09-04","Mismatch"
"435282","Justin Ramirez",NULL,"2026-02-22",NULL,"INVALID","Transfer","BR700","51197.08","Check bounced"," Missing Critical Field Invalid Account Number","2026-02-22",NULL
"792531","Kimberly Johnson",NULL,"October 12, 2023","59.74","EUR","Transfer","BR165","5211.69",NULL," Invalid Account Number","2023-10-12","Mismatch"
"840474","Ashley Jimenez",NULL,"2025-05-06","1050.23","INVALID","Debit","BR078","64109.67",NULL," Invalid Account Number","2025-05-06","Mismatch"
"446691","Elizabeth Greene",NULL,"2025-07-22","13216.60","INR","Transfer",NULL,"99469.89",NULL," Invalid Account Number","2025-07-22","Mismatch"
"529136","Laurie Montgomery",NULL,"2026-01-21",NULL,"EUR","Debit","BR302","12085.35","Check bounced"," Missing Critical Field Invalid Account Number","2026-01-21",NULL
"896859","Brenda Lopez",NULL,"September 08, 2023",NULL,"GBP","Transfer","BR998","5374.05","Check bounced"," Missing Critical Field Invalid Account Number","2023-09-08",NULL
"266239","Katherine Booker",NULL,"19/08/2025","10022.14","EUR","Debit","BR483","36838.50",NULL," Invalid Account Number","2025-08-19","Mismatch"
"152862","Leslie Reed",NULL,"2025-12-03","13033.74","INVALID","Debit","BR573","30047.88",NULL," Invalid Account Number","2025-12-03","Mismatch"
"998437","Justin Chase",NULL,"2022-11-28",NULL,"INVALID","Transfer","BR580","60194.63",NULL," Missing Critical Field Invalid Account Number","2022-11-28",NULL
"830904","Sarah Bennett",NULL,"21/10/2021",NULL,"INR","Debit","BR091","52866.83",NULL," Missing Critical Field Invalid Account Number","2021-10-21",NULL
"367935","Nicholas Washington",NULL,"2022-05-17","4221.63","GBP","Credit","BR610","73187.77","Check bounced"," Invalid Account Number","2022-05-17","Mismatch"
"274599","John Rivera",NULL,"July 02, 2022","8993.57","GBP","Credit","BR639","87453.22","Check bounced"," Invalid Account Number","2022-07-02","Mismatch"
"609140","Brenda Le",NULL,"August 23, 2022","14253.18","GBP","Debit","BR855","16287.88","Check bounced"," Invalid Account Number","2022-08-23","Mismatch"
"321797","Aaron Shaw",NULL,"February 13, 2023","4875.88","INR","Debit","BR118","39511.48","Check bounced"," Invalid Account Number","2023-02-13","Mismatch"
"850834","Travis Brooks",NULL,"2023-02-24","670.37","USD","Credit","BR607","67395.30",NULL," Invalid Account Number","2023-02-24","Mismatch"
"198123","Wesley Michael",NULL,"2023-04-08","9746.32","INR","Credit","BR374","36949.84","Better themselves financial."," Invalid Account Number","2023-04-08","Mismatch"
"250017","Kayla Wade",NULL,"July 17, 2023","7776.22","INVALID","Transfer","BR167","81335.03",NULL," Invalid Account Number","2023-07-17","Mismatch"
"635659","Jacob Gonzalez",NULL,"2024-01-01","2323.58","INVALID","Credit","BR029","23809.56","Manual correction"," Invalid Account Number","2024-01-01","Mismatch"
"655205","Carlos Smith",NULL,"09/01/2024","7154.15","GBP","Credit","BR019","6783.94","Check bounced"," Invalid Account Number","2024-01-09","Mismatch"
"682568","Ryan White",NULL,"September 20, 2024","17694.19","GBP","Credit","BR909","5599.93","Manual correction"," Invalid Account Number","2024-09-20","Mismatch"
"168201","Michael Smith",NULL,"May 16, 2025","6025.93","EUR","Credit","BR241","72425.05",NULL," Invalid Account Number","2025-05-16","Mismatch"
"497275","Roy Villanueva",NULL,"July 02, 2025","4304.52","GBP","Transfer","BR028","73394.31","Manual correction"," Invalid Account Number","2025-07-02","Mismatch"
"405381","Randy Castro",NULL,"2025-11-19","1317.35","INR","Transfer","BR227","5678.89",NULL," Invalid Account Number","2025-11-19","Mismatch"
"170877","Kevin Hernandez",NULL,"2026-02-12","9772.24","INR","Credit","BR796","66103.66","Manual correction"," Invalid Account Number","2026-02-12","Mismatch"
"687029","Maria Scott",NULL,"27/03/2021","10441.35","INVALID","Debit","BR372","15950.57","Arm usually while nothing sure travel."," Invalid Account Number","2021-03-27",NULL
"708444","Katrina Perez",NULL,"July 25, 2021","1789.53","USD","Transfer","BR231","45958.68","Environmental strategy kid mean leader bill almost."," Invalid Account Number","2021-07-25","Mismatch"
"202948","Ian Harper",NULL,"2021-10-25","18175.78","USD","Debit","BR334","83146.16","Check bounced"," Invalid Account Number","2021-10-25","Mismatch"
"694901","Anthony George",NULL,"04/05/2022","2567.02","INVALID","Debit","BR346","71313.69","Manual correction"," Invalid Account Number","2022-05-04","Mismatch"
"232451","Steven Patterson",NULL,"June 06, 2022","14189.44","INVALID","Debit","BR398","40182.80",NULL," Invalid Account Number","2022-06-06","Mismatch"
"677363","Beth Bush",NULL,"16/06/2022","18280.85","USD","Credit","BR045","78035.06",NULL," Invalid Account Number","2022-06-16","Mismatch"
"617539","Bridget Romero",NULL,"2022-11-08","18830.94","INVALID","Transfer","BR405","11509.60",NULL," Invalid Account Number","2022-11-08","Mismatch"
"888943","Amanda Harris",NULL,"14/03/2024","17351.37","INVALID","Credit","BR535","27891.12","Manual correction"," Invalid Account Number","2024-03-14","Mismatch"
"744192","James Jackson",NULL,"April 30, 2024","6827.26","USD","Debit","BR844","26130.22","Check bounced"," Invalid Account Number","2024-04-30","Mismatch"
"737193","Vicki Russell",NULL,"2025-04-17","11646.70","INR","Credit","BR540","59453.96","Prepare camera ahead everybody."," Invalid Account Number","2025-04-17","Mismatch"
"106985","Kaitlin Johnson",NULL,"May 06, 2025","7365.98","GBP","Debit","BR607","40062.13","Check bounced"," Invalid Account Number","2025-05-06","Mismatch"
"489097","Kaylee Jenkins",NULL,"July 10, 2025","4816.03","INR","Credit","BR791","71351.70","Check bounced"," Invalid Account Number","2025-07-10","Mismatch"
"871006","Duane Williams",NULL,"10/08/2021","16471.59","GBP","Transfer","BR437","156.75",NULL," Invalid Account Number","2021-08-10","Mismatch"
"183644","Timothy Johnson",NULL,"September 11, 2022","2479.23","USD","Debit","BR892","8475.43",NULL," Invalid Account Number","2022-09-11","Mismatch"
"697001","Kevin Anderson Dvm",NULL,"2022-10-11","10807.18","INR","Transfer",NULL,"85767.43",NULL," Invalid Account Number","2022-10-11","Mismatch"
"237198","Jennifer Jones",NULL,"November 04, 2023","4303.38","GBP","Credit","BR904","55674.60",NULL," Invalid Account Number","2023-11-04","Mismatch"
"285938","Emily Ry",NULL,"29/12/2023","6009.48","INVALID","Transfer","BR589","32600.40",NULL," Invalid Account Number","2023-12-29","Mismatch"
"562577","John Mcgee",NULL,"23/02/2024","9510.23","INVALID","Debit","BR267","37515.89",NULL," Invalid Account Number","2024-02-23","Mismatch"
"325172","Aimee Cook",NULL,"05/12/2024","1268.38","INVALID","Transfer","BR200","69168.32",NULL," Invalid Account Number","2024-12-05","Mismatch"
"757554","Michelle Hawkins",NULL,"2024-12-17","4681.73","INR","Transfer","BR791","27621.73",NULL," Invalid Account Number","2024-12-17","Mismatch"
"502716","Drlene Hll",NULL,"2026-01-25","21.05","GBP","Debit","BR042","43373.31",NULL," Invalid Account Number","2026-01-25","Mismatch"
"192488","Angela Carr","89398460","2025-02-11","11955.53","INVALID","Debit","BR416","117.00",NULL,NULL,"2025-02-11",NULL
"763983","William Reed",NULL,"July 30, 2024",NULL,"INR","Credit","BR871","72189.68","Manual correction"," Missing Critical Field Invalid Account Number","2024-07-30",NULL
"636655","Lisa Smith",NULL,"2022-03-16","13636.66","GBP","Debit",NULL,"64582.73",NULL," Invalid Account Number","2022-03-16","Mismatch"
"693203","Austin Dunn",NULL,"December 04, 2022","3026.05","GBP","Transfer","BR933","43762.08","Manual correction"," Invalid Account Number","2022-12-04","Mismatch"
"296535","Karen Adams",NULL,"May 06, 2023","8034.68","GBP","Credit","BR255","77027.93","Manual correction"," Invalid Account Number","2023-05-06","Mismatch"
"196633","Danielle Roberts",NULL,"2023-05-15","4413.73","INVALID","Transfer",NULL,"41636.43","Receive audience animal worker inside."," Invalid Account Number","2023-05-15","Mismatch"
"936991","Eric Baxter",NULL,"2023-07-30","12876.77","INVALID","Debit","BR084","25172.91",NULL," Invalid Account Number","2023-07-30","Mismatch"
"211002","Angel Gaines",NULL,"07/05/2024","18903.89","USD","Debit",NULL,"97129.56",NULL," Invalid Account Number","2024-05-07","Mismatch"
"209455","Bruce Hardin",NULL,"June 23, 2024","10336.64","USD","Debit","BR998","3057.16","Manual correction"," Invalid Account Number","2024-06-23","Mismatch"
"620491","Joe Hays",NULL,"August 30, 2024","2026.00","EUR","Credit","BR230","24450.73","Manual correction"," Invalid Account Number","2024-08-30","Mismatch"
"683832","Sara Mcintosh",NULL,"2024-10-09","767.42","INVALID","Transfer","BR944","77807.49",NULL," Invalid Account Number","2024-10-09","Mismatch"
"199248","John Wagner",NULL,"2025-08-03","18303.48","INVALID","Credit","BR088","74420.70","Everything whom door detail speech."," Invalid Account Number","2025-08-03","Mismatch"
"915272","Joseph Barnett",NULL,"2026-03-10","341.72","GBP","Transfer","BR863","42032.06","Operation whether often."," Invalid Account Number","2026-03-10","Mismatch"
"993294","Jessica Roberts",NULL,"2021-10-11","7689.55","INVALID","Credit","BR911","15349.73",NULL," Invalid Account Number","2021-10-11","Mismatch"
